Calcitriol	7.999999999999999e-05
Lipoxin A4	0.000104
Estradiol	0.0001065
15-Deoxy-d-12,14-PGJ2	0.0001445
Leukotriene B4	0.00016
Melatonin	0.00019
Prostaglandin D2	0.0002
Estrone	0.00021
Thromboxane A2	0.000345
Aldosterone	0.00039575
Prostaglandin F2a	0.0004355
Epinephrine	0.00051
Prostaglandin E2	0.000536
Thyroxine	0.00066
Liothyronine	0.0011
Dihydrotestosterone	0.0012699999999999
Norepinephrine	0.0013
Histamine	0.0023
Biotin	0.0024
Progesterone	0.0025
3-Methoxytyramine	0.0025
13-cis-Retinoic acid	0.003
Androstenedione	0.004
Testosterone	0.005295
9-cis-Retinoic acid	0.0056
Estriol	0.006
Vitamin D3	0.006
12-HETE	0.00642
Dehydroepiandrosterone	0.010075
25-Hydroxycholesterol	0.0105
Folic acid	0.01695
Corticosterone	0.025
Kynurenic acid	0.03
Androsterone	0.060325
Calcidiol	0.0634
Spermine	0.09
all-trans-Retinoic acid	0.10725000000000001
Riboflavin	0.10798250000000001
Lithocholic acid	0.11
Thiamine	0.14
Debrisoquine	0.149
Putrescine	0.155
Retinal	0.155
Deoxycytidine	0.2
Thymidine	0.21
Cortisol	0.235
Cytidine	0.255
Adenosine	0.285
Glucosamine	0.29
27-Hydroxycholesterol	0.3
5-Methyltetrahydrofolic acid	0.3
Sphingosine 1-phosphate	0.32899999999999996
5-Aminolevulinic acid	0.35
Deoxyuridine	0.4
beta-Carotene	0.46
Lanosterol	0.48
Glycyl-glycine	0.5
Adenine	0.5
Inosine	0.55
gamma-Aminobutyric acid	0.73
Serotonin	0.7949999999999999
Guanosine	0.8
Tetracosanoic acid	0.93
Fumaric acid	0.9774999999999999
gamma-Linolenic acid	1.08
D-Serine	1.88
Vitamin A	1.951
Dihomo-gamma-linolenic acid	2.076
Uracil	2.175
Chenodeoxycholic acid	2.275
Dehydroascorbic acid	2.36
Anandamide	2.99
Xanthine	3.8945
Deoxyguanosine	5.5
Hypoxanthine	5.58
Succinic acid	6.05
Uridine	6.148
Cytosine	6.4
L-Dopa	7.003615
Malic acid	7.6
Oxoglutaric acid	8.9
Dopamine	9.0142325
Choline	10.5
Phytanic acid	11.975
L-Homoserine	12.0
Myristic acid	13.137
Iron	13.90725
Adenosine monophosphate	14.0
L-Aspartic acid	15.5
Eicosapentaenoic acid	16.869
alpha-Linolenic acid	17.5
Palmitoleic acid	18.0
L-Carnitine	20.81
Hydrogen peroxide	23.5
L-Methionine	27.0
D-Galactose	28.0
alpha-Tocopherol	28.0
D-Fructose	31.0
Betaine	33.3
L-Cysteine	35.75
Creatine	36.7
Hydrogen sulfide	37.6
Arachidonic acid	38.5
L-Asparagine	39.9
Uridine 5'-diphosphate	41.0
Glycogen	41.2
Ethanol	46.68
L-Isoleucine	48.650000000000006
L-Glutamic acid	51.45
D-Mannose	51.5
L-Tryptophan	53.9
Ornithine	54.5
L-Tyrosine	61.0
L-Phenylalanine	64.5
Docosahexaenoic acid	66.973
Pyruvic acid	76.0
L-Leucine	79.15
L-Arginine	80.0
Citric acid	80.2
L-Histidine	89.3
Elaidic acid	100.0
L-Serine	114.55
L-Threonine	121.4
Palmitic acid	122.0
L-Lysine	127.9
Glycerol	133.9
L-Valine	138.75
Uridine diphosphate glucose	155.0
Stearic acid	158.5
ADP	160.0
Linoleic acid	195.2
Glycine	212.4
Oleic acid	240.0
Phosphate	315.885
L-Glutamine	503.515
D-Lactic acid	600.0
Potassium	1050.0
D-Maltose	1169.0
Thymine	1390.0
Adenosine triphosphate	1471.0
L-Lactic acid	1726.284
D-Glucose	2800.0
Urea	3550.0
Cholesterol	4100.0
Chloride ion	8000.0
Sodium	125500.0
